"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"Bama Dining","","Tim","Vandermeersch","PO Box 870389","Tuscaloosa","AL","35487","C","Male","Manager","","40-566-2937","1 to 4","Less Than $500,000","(205) 348-6816","581208","Restaurants","581208","Restaurants","","Verified"
"Bama Dining-Armark","","Bret","Davison","1000 Mccorvey Dr","Tuscaloosa","AL","35401","B","Male","Manager","","69-041-3083","5 to 9","Less Than $500,000","(205) 348-4266","581208","Restaurants","581208","Restaurants","","Verified"
"Bama Hotdogs","","Deborah","Harris","1613 Pinson Valley Pkwy","Birmingham","AL","35217","B","Female","Owner","","49-602-3805","1 to 4","Less Than $500,000","(205) 849-2244","581208","Restaurants","581208","Restaurants","","Verified"
"Bama Ventures","","","","833 S Railroad Ave","Opelika","AL","36801","B","","","","71-533-0479","5 to 9","Less Than $500,000","(334) 363-0181","581208","Restaurants","581208","Restaurants","","Verified"
"Bamaside Family Restaurant","","","","201 AL Highway 75","Higdon","AL","35979","B","","","","58-988-9971","1 to 4","Less Than $500,000","(256) 632-3436","581208","Restaurants","581208","Restaurants","","Verified"
"Bamboo Japanese Steak House","","","","650 Cody Rd S","Mobile","AL","36695","B+","","","","40-257-0555","20 to 49","$500,000-1 Million","(251) 300-8383","581208","Restaurants","581208","Restaurants","","Verified"
"Bamboo On 2nd","","Sam","Fallaw","2212 2nd Ave N","Birmingham","AL","35203","B","Male","Other","","71-184-0302","10 to 19","Less Than $500,000","(205) 703-0551","581208","Restaurants","581208","Restaurants","","Verified"
"Banana Man LLC","","","","621 Boll Weevil Cir","Enterprise","AL","36330","C+","","","","42-769-6063","1 to 4","Less Than $500,000","(334) 417-0106","581301","Bars","581301","Bars","BANANA MAN LLC","Verified"
"Bandito Burrito","","Oscar","Gutierrez","3017 Governors Dr SW","Huntsville","AL","35805","B+","Male","Owner","","40-186-7254","10 to 19","$500,000-1 Million","(256) 534-0866","581208","Restaurants","581208","Restaurants","","Verified"
"Bangkok Thai Cuisine","","Sivaporn","Nimit","3821 Airport Blvd","Mobile","AL","36608","B","Female","Owner","","20-123-7765","5 to 9","Less Than $500,000","(251) 344-9995","581208","Restaurants","581208","Restaurants","","Verified"
"Bangkok Thai Daphne","","","","28600 US Highway 98","Daphne","AL","36526","B","","","","68-928-1566","10 to 19","$500,000-1 Million","(251) 626-5286","581208","Restaurants","581208","Restaurants","","Verified"
"Banja's Thai & Sushi","","Benjawan","Tripatcha","1281 Hillcrest Rd","Mobile","AL","36695","C+","Male","Owner","","74-638-6787","5 to 9","Less Than $500,000","(251) 661-5100","581208","Restaurants","581208","Restaurants","","Verified"
"Bank Street Green","","","","508 Bank St NE","Decatur","AL","35601","B","","","","71-949-3086","5 to 9","Less Than $500,000","(256) 350-0958","581208","Restaurants","581208","Restaurants","","Verified"
"Bank's Bar B Que","","Landon","Parrish","2210 21st St","Haleyville","AL","35565","C+","Male","Owner","","31-641-1909","1 to 4","Less Than $500,000","(205) 486-2266","581208","Restaurants","581208","Restaurants","","Verified"
"Banks Street Grill","","","","719 Bank St NE","Decatur","AL","35601","B","","","","76-368-3354","5 to 9","","(256) 686-2006","581208","Restaurants","581208","Restaurants","","Verified"
"Banzai Japanese Restaurant","","Shigeaki","Oki","312 Schillinger Rd S # C","Mobile","AL","36608","C+","Female","Owner","","47-109-8384","1 to 4","Less Than $500,000","(251) 633-9077","581208","Restaurants","581208","Restaurants","","Verified"
"Bar 31","","Scott","Price","1485 Montgomery Hwy","Vestavia Hills","AL","35216","B","Male","Manager","","42-240-2161","5 to 9","Less Than $500,000","(205) 639-1525","581208","Restaurants","581208","Restaurants","","Verified"
"Bar B Q Place","","Burt","Hood","1502 Gault Ave S","Fort Payne","AL","35967","B","Male","Owner","","13-391-2188","5 to 9","Less Than $500,000","(256) 845-6155","581208","Restaurants","581208","Restaurants","","Verified"
"Bar B-Quing With My Honey","","Glenda","Witherspoon","19170 Highway 43","Mount Vernon","AL","36560","C+","Female","Owner","","60-912-0894","1 to 4","Less Than $500,000","(251) 829-9227","581208","Restaurants","581208","Restaurants","","Verified"
"Bar Spring Street Grill","","","","4100 4th Ave S","Birmingham","AL","35222","B+","","","","75-657-0004","5 to 9","","(205) 777-3024","581208","Restaurants","581208","Restaurants","","Verified"
"Bar-B-Q Place","","Sarah","Blankenship","64 Ashland St","Goodwater","AL","35072","B","Female","Owner","","76-539-4202","5 to 9","","(256) 839-5333","581208","Restaurants","581208","Restaurants","","Verified"
